epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8654,2.03949,4.47129,1.76181,0,0,0,0,0,887.5,0,0.00026,0.00026,0.00026
2,53.9431,1.66684,2.8649,1.33607,0,0,0,0,0,909,0,0.00050436,0.00050436,0.00050436
3,79.0433,1.61101,2.31984,1.29844,0,0,0,0,0,911.5,0,0.00071176,0.00071176,0.00071176
4,103.16,1.57554,2.04255,1.31204,0,0,0,0,0,911.5,0,0.0008822,0.0008822,0.0008822
5,128.248,1.52694,1.80262,1.26742,0,0,0,0,0,715.5,0,0.00101568,0.00101568,0.00101568
6,162.084,1.56767,1.98295,1.32409,0,0,0,0,0,466.25,0,0.0011122,0.0011122,0.0011122
7,186.026,1.52215,1.73024,1.28666,0,0,0,0,0,1335,0,0.00117176,0.00117176,0.00117176
8,208.717,1.49968,1.52919,1.29284,0,0,0,0,0,386,0,0.001076,0.001076,0.001076
9,233.193,1.46397,1.43197,1.27326,0,0,0,0,0,363,0,0.000944,0.000944,0.000944
10,258.063,1.4378,1.28166,1.25758,0,0,0,0,0,379.75,0,0.000812,0.000812,0.000812
11,281.114,1.37438,1.16069,1.21737,0,0,0,0,0,544.5,0,0.00068,0.00068,0.00068
12,305.214,1.35247,1.07893,1.19215,0,0,0,0,0,496.25,0,0.000548,0.000548,0.000548
13,329.692,1.28506,0.98914,1.1471,0,0,0,0,0,499,0,0.000416,0.000416,0.000416
14,352.349,1.23556,0.91395,1.13159,0,0,0,0,0,662,0,0.000284,0.000284,0.000284
15,376.654,1.21193,0.87724,1.124,0,0,0,0,0,636,0,0.000152,0.000152,0.000152
