epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1284,2.02067,4.36517,1.75387,0.00288,0.86395,0.36156,0.15026,1.8358,4.14137,1.50091,0.00034,0.00034,0.00034
2,54.3761,1.70051,2.82715,1.3842,0.00302,0.90476,0.1777,0.08322,1.89885,4.19982,1.57917,0.0006538,0.0006538,0.0006538
3,78.8065,1.65422,2.33279,1.36204,0.17057,0.09524,0.07175,0.03967,1.89243,4.46304,1.70975,0.00092008,0.00092008,0.00092008
4,103.576,1.61672,2.08121,1.34141,0.27028,0.17135,0.13666,0.05649,1.91974,3.71397,1.67678,0.00113884,0.00113884,0.00113884
5,128.804,1.62748,1.88222,1.35699,0.3989,0.21769,0.19418,0.08349,1.98079,3.23119,1.75462,0.00131008,0.00131008,0.00131008
6,158.978,1.64359,1.88777,1.39356,0.24361,0.2449,0.16138,0.06274,2.04868,3.71561,1.97099,0.00134,0.00134,0.00134
7,182.101,1.62706,1.66116,1.37753,0.30624,0.15646,0.18585,0.06344,2.05441,2.93011,1.68185,0.001208,0.001208,0.001208
8,204.884,1.55686,1.41386,1.34208,0.6519,0.38095,0.49177,0.21333,1.97774,1.94089,1.58965,0.001076,0.001076,0.001076
9,228.585,1.55657,1.26219,1.32541,0.1109,0.19728,0.08793,0.03086,2.09646,4.52856,1.73462,0.000944,0.000944,0.000944
10,251.879,1.51503,1.18385,1.29768,0.79887,0.69388,0.81945,0.41986,1.65588,1.29552,1.34683,0.000812,0.000812,0.000812
11,274.834,1.45188,1.10892,1.2593,0.81915,0.73952,0.83481,0.44646,1.57277,1.0968,1.30835,0.00068,0.00068,0.00068
12,297.745,1.40149,1.01497,1.23794,0.85482,0.80112,0.89847,0.46869,1.60463,1.0091,1.34493,0.000548,0.000548,0.000548
13,321.455,1.36358,0.94952,1.21466,0.87007,0.86557,0.91979,0.49031,1.54103,0.88382,1.29702,0.000416,0.000416,0.000416
14,345.034,1.34134,0.89501,1.20423,0.85029,0.89116,0.92425,0.52092,1.49517,0.85223,1.28384,0.000284,0.000284,0.000284
15,369.86,1.28155,0.85524,1.17492,0.87301,0.8886,0.92534,0.5295,1.44419,0.80478,1.24212,0.000152,0.000152,0.000152
